Date, Close/Last, Volume, Open, High, Low
11/6/2020,1951.7,233903,1950,1961.8,1937.2
11/5/2020,1946.8,288663,1903.4,1952.6,1948
11/4/2020,1896.2,284598,1910.3,1905.8,1897.8
11/3/2020,1910.4,166642,1896.4,1911.8,1906.9
11/2/2020,1892.5,161958,1877,1897.1,1873.3
10/30/2020,1879.9,207865,1867.9,1885.9,1875
10/29/2020,1868,219592,1877.5,1885.1,1859.2
10/28/2020,1879.2,289026,1909.8,1882.1,1875.7
10/27/2020,1911.9,149056,1904.4,1913.8,1898.7
10/26/2020,1905.7,161841,1906,1911.1,1892.5
10/23/2020,1905.2,168148,1906.5,1917.3,1895.2
10/22/2020,1904.6,208087,1927.4,1929.4,1894.2
10/21/2020,1929.5,194754,1911.6,1936,1911.6
10/20/2020,1915.4,160356,1906.4,1915.5,1909
10/19/2020,1911.7,155479,1903.2,1923.4,1900.2
10/16/2020,1906.4,144094,1912.7,1918.7,1901.1
10/15/2020,1908.9,205615,1906,1913.2,1892.7
10/14/2020,1907.3,185374,1895.4,1917.5,1885
10/13/2020,1894.6,260044,1927.3,1930.6,1889.3
10/12/2020,1928.9,155906,1935,1939.4,1923.8
10/9/2020,1926.2,224808,1898.4,1936.8,1898
10/8/2020,1895.1,179968,1890.6,1905.3,1885.3
10/7/2020,1890.8,183295,1882.6,1902.4,1877.1
10/6/2020,1908.8,172605,1917.8,1927,1902.9
10/5/2020,1920.1,176090,1910.9,1924.9,1902.5
10/2/2020,1907.6,209696,1911,1923.6,1895.2
10/1/2020,1916.3,257047,1891.2,1917.9,1890
9/30/2020,1895.5,256446,1903.2,1908.2,1885.8
9/29/2020,1903.2,213482,1886.4,1904.8,1880.8
9/28/2020,1882.3,232907,1862.7,1888.2,1851.1
9/25/2020,1866.3,226076,1872.7,1879.3,1854.1
9/24/2020,1876.9,338361,1866.9,1880.9,1851
9/23/2020,1868.4,402011,1905.1,1909.9,1856
9/22/2020,1907.6,279441,1918.1,1925.5,1898.9
9/21/2020,1910.6,380526,1957.3,1962.9,1885.4
9/18/2020,1962.1,174242,1951.1,1968.2,1951.1
9/17/2020,1949.9,263192,1967.6,1969.3,1938.2
9/16/2020,1970.5,287073,1961.4,1983.8,1957.2
9/15/2020,1966.2,232698,1966.2,1982.4,1955.6
9/14/2020,1963.7,196763,1948.9,1972.5,1945.2
9/11/2020,1947.9,202859,1953.8,1959,1945.7
9/10/2020,1964.3,268963,1955.3,1954.9,1949.9
9/9/2020,1954.9,224190,1939.4,1959.7,1926.3
9/8/2020,1943.2,412083,1938,1948.3,1911.7
9/4/2020,1934.3,300921,1938,1945.9,1923
9/3/2020,1937.8,300282,1948.9,1956.6,1927.2
9/2/2020,1944.7,326130,1976.8,1980.4,1938.9
9/1/2020,1978.9,300227,1973.7,2001.2,1969.2
8/31/2020,1978.6,242577,1973.9,1985.8,1962.3
8/28/2020,1974.9,329609,1937.5,1983,1928.2
8/27/2020,1932.6,461990,1963,1987,1914.7
8/26/2020,1952.5,338049,1939,1963.4,1908.4
8/25/2020,1923.1,271641,1935.9,1944.1,1919.1
8/24/2020,1939.2,284540,1947.9,1970.3,1930.8
8/21/2020,1947,352773,1955.6,1963.1,1916.6
8/20/2020,1946.5,378970,1934.4,1963.1,1928.9
8/19/2020,1970.3,440405,2010.5,2015.6,1930.5
8/18/2020,2013.1,358272,1993.6,2024.6,1985.2
8/17/2020,1998.7,285580,1956.4,2000.8,1939.1
8/14/2020,1949.8,237092,1963.8,1970,1939.1
8/13/2020,1970.4,346000,1927.3,1974.8,1923
8/12/2020,1949,450394,1921.6,1961,1874.2
8/11/2020,1946.3,556617,2038.4,2040.5,1911.3
8/10/2020,2039.7,248644,2044.8,2060.8,2027.8
8/7/2020,2028,391017,2076.4,2082.1,2024.8
8/6/2020,2069.4,307517,2055,2081.8,2049
8/5/2020,2049.3,361949,2037,2070.3,2027.5
8/4/2020,2021,269790,1993.5,2037.7,1982.6
8/3/2020,1986.3,176729,1997.4,2009.5,1975.2
7/31/2020,1985.9,275460,1973.6,2005.4,1971.4
7/30/2020,1966.8,268606,1986.4,1987.3,1952.3
7/29/2020,1976.7,191033,1971.9,1998.4,1955.7
7/28/2020,1963.9,154485,1963.2,2000,1927.5
7/27/2020,1955.4,127487,1929,1971.3,1926.8
7/24/2020,1897.5,288088,1884.9,1904.6,1880.5
7/23/2020,1890,400358,1871.6,1897.7,1863.1
7/22/2020,1865.1,376705,1842.8,1871.8,1842.1
7/21/2020,1843.9,265677,1819.6,1844.9,1817.2
7/20/2020,1817.4,173983,1812.3,1823.4,1806.6
7/17/2020,1810,162684,1796.9,1813.9,1795.2
7/16/2020,1800.3,190841,1813.1,1816.2,1794.1
7/15/2020,1813.8,179267,1811.1,1819.5,1804
7/14/2020,1813.4,235992,1810.9,1813.6,1809.6
7/13/2020,1814.1,218006,1803.4,1818.8,1802.1
7/10/2020,1801.9,208264,1808.4,1817,1796.5
7/9/2020,1803.8,265280,1818.8,1825.5,1799.6
7/8/2020,1820.6,232708,1807.9,1829.8,1803.8
7/7/2020,1809.9,217229,1793.9,1810.8,1781.2
7/6/2020,1793.5,140564,1787,1799,1779.2
7/2/2020,1790,181017,1779,1791.7,1766.3
7/1/2020,1779.9,258541,1798.9,1807.7,1767.9
6/30/2020,1800.5,190351,1799.2,1801.4,1795.5
6/29/2020,1781.2,128441,1789.2,1790.4,1776.5
6/26/2020,1780.3,195963,1774.8,1786.2,1754
6/25/2020,1770.6,148788,1772.3,1779.6,1764.1
6/24/2020,1775.1,230610,1784.4,1796.1,1770.6
6/23/2020,1782,190018,1764.9,1786.8,1758.3
6/22/2020,1766.4,219460,1765.8,1779,1753.5
6/19/2020,1753,174981,1729.8,1760.9,1728.3
6/18/2020,1731.1,152628,1735.5,1749.2,1722.7
6/17/2020,1735.6,137879,1735.3,1739.3,1717.3
6/16/2020,1736.5,177702,1732.3,1741.3,1721.8
6/15/2020,1727.2,195205,1740.7,1743.8,1706.2
6/12/2020,1737.3,148176,1733.6,1753,1728.2
6/11/2020,1739.8,202214,1746.6,1754.9,1727.5
6/10/2020,1720.7,195593,1718.9,1749.4,1714.1
6/9/2020,1721.9,178128,1703.9,1729.4,1697.6
6/8/2020,1705.1,151461,1686.7,1707.6,1680.7
6/5/2020,1683,267086,1720.8,1723.2,1671.7
6/4/2020,1727.4,193873,1702.8,1729,1698.9
6/3/2020,1704.8,249036,1733.7,1738.9,1690.3
6/2/2020,1734,172030,1750.3,1757,1728
6/1/2020,1750.3,142807,1749.8,1761,1737.6
5/29/2020,1736.9,1406,1718.8,1738.3,1715.1
5/28/2020,1728.3,159174,1725,1743.7,1720
5/27/2020,1726.8,156746,1724.1,1729.1,1701.6
5/26/2020,1728.2,146582,1746.3,1755.6,1721.2
5/22/2020,1734.6,6,1726.6,1726.7,1726.6
5/21/2020,1721.9,225941,1751.7,1751.7,1715.3
5/20/2020,1750.6,16,1751.6,1752.1,1745.6
5/19/2020,1745.6,181673,1734.8,1751.6,1727.2
5/18/2020,1734.4,264848,1757.5,1775.8,1729.3
5/15/2020,1753.4,719,1739.7,1751.4,1739.7
5/14/2020,1740.9,208601,1723.1,1746.5,1716
5/13/2020,1716.4,204533,1705,1726.5,1701.6
5/12/2020,1706.8,182675,1700,1716.7,1693.5
5/11/2020,1698,184455,1706,1713.8,1692.1
5/8/2020,1709.9,330,1726.2,1728.9,1703.8
5/7/2020,1725.8,233381,1686,1733.2,1683.9
5/6/2020,1688.5,196313,1714.1,1716.6,1683
5/5/2020,1710.6,179577,1711,1717.8,1695.4
5/4/2020,1713.3,146307,1711.2,1726,1700.3
5/1/2020,1694.5,337,1686.6,1701.5,1670.5
4/30/2020,1694.2,228730,1729.6,1737,1687.5
4/29/2020,1703.4,373,1710,1713.5,1702
4/28/2020,1722.2,166606,1724.4,1731.9,1704.1
4/27/2020,1723.8,142721,1745,1745.8,1720
4/24/2020,1723.5,221,1744,1744,1714.5
4/23/2020,1745.4,194495,1736.5,1764.2,1730.6
4/22/2020,1738.3,187864,1703.1,1742.4,1695.4
4/21/2020,1687.8,240743,1713.3,1718,1666.2
4/20/2020,1711.2,183636,1693,1718.4,1685
4/17/2020,1689.2,223,1715.7,1725,1684.9
4/16/2020,1731.7,199823,1743.5,1768,1722.6
4/15/2020,1740.2,181342,1758.1,1759.8,1731.6
4/14/2020,1768.9,234439,1761.5,1788.8,1747.1
4/13/2020,1744.8,696,1722,1756.8,1710.7
4/9/2020,1736.2,825,1662.7,1732.5,1662.7
4/8/2020,1684.3,121346,1678.7,1695.8,1670.7
4/7/2020,1683.7,194263,1707.1,1742.6,1672
4/6/2020,1677,1063,1629.1,1696.7,1625.9
4/3/2020,1633.7,643,1624.5,1636,1619.8
4/2/2020,1637.7,162151,1602.4,1645.6,1595.2
4/1/2020,1591.4,159377,1589.4,1612.4,1576
3/31/2020,1583.4,2694,1618.7,1621,1576
3/30/2020,1643.2,144290,1663.4,1673.6,1632
3/27/2020,1623.9, N/A,1623.9,1623.9,1623.9
3/26/2020,1660.3,134861,1642.2,1677.2,1612
3/25/2020,1634.3,104547,1665.5,1698,1609
3/24/2020,1660.2,442,1622.8,1685.5,1622.8
3/23/2020,1572.7,95848,1508.4,1574.8,1489.4
3/20/2020,1484,14,1483.5,1483.5,1483.5
3/19/2020,1479.3,306016,1487.2,1502.8,1460.1
3/18/2020,1477.9,412332,1527.6,1547,1473.3
3/17/2020,1524.9,122,1469.3,1537.7,1469.3
3/16/2020,1486.5,535860,1563.8,1574.8,1450.9
3/13/2020,1516.7,524471,1582.7,1597.9,1504
3/12/2020,1590.3,553457,1633.1,1651,1560.4
3/11/2020,1642.3,373462,1649.3,1671.8,1632.4
3/10/2020,1659.1,48,1671.6,1674.6,1643
3/9/2020,1675.7,467110,1692.6,1704.3,1658
3/6/2020,1672.4,619051,1673.1,1692.8,1642.4
