transaction_date,total_daily_value,sum_daily_transaction_fees
2017-01-05 00:00:00 UTC,8083783.690075006,34.857578041
2017-04-21 00:00:00 UTC,7754905.869488477,92.197364557
2017-04-03 00:00:00 UTC,17019449.458700121,74.784457574
2018-09-28 00:00:00 UTC,1692258.921824957,620.865653359
2018-08-09 00:00:00 UTC,1612866.1571395,2484.608661217
2018-06-02 00:00:00 UTC,1301646.594189311,602.951403171
2019-10-08 00:00:00 UTC,1644979.811634237,466.796136387
2019-08-22 00:00:00 UTC,1797012.103229492,489.346344009
2020-08-17 00:00:00 UTC,2984757.634982255,8615.110461439
2016-11-14 00:00:00 UTC,534398.405990708,38.314563085
2016-06-09 00:00:00 UTC,462236.827360093,28.894766835
2018-09-06 00:00:00 UTC,3044532.899119942,511.158843242
2017-10-26 00:00:00 UTC,9734536.262848638,275.041137251
2019-03-13 00:00:00 UTC,2068256.422013156,347.07001872
2018-12-06 00:00:00 UTC,3817878.696657535,504.219772969
2018-08-08 00:00:00 UTC,2066025.850152695,2878.016387274
2020-04-26 00:00:00 UTC,1377885.085548579,635.743297505
2015-08-31 00:00:00 UTC,384849.223365454,7.424533844
2015-08-08 00:00:00 UTC,13583219.939374866,68.09996984
2017-11-04 00:00:00 UTC,8449990.77513646,212.077530955
2017-09-23 00:00:00 UTC,7441150.239305923,315.52433884
2017-11-05 00:00:00 UTC,7940924.961736914,199.749042119
2017-07-06 00:00:00 UTC,8334645.656591378,304.771434247
2017-07-31 00:00:00 UTC,8746132.827950479,231.201091313
2020-03-28 00:00:00 UTC,1877746.241025269,402.682724736
2020-10-18 00:00:00 UTC,1411861.419870502,2744.857557642
2015-12-12 00:00:00 UTC,485803.623084596,23.123143168
2016-11-11 00:00:00 UTC,3766389.823659939,44.235781431
2017-06-18 00:00:00 UTC,9480966.511450429,251.896900535
2020-03-11 00:00:00 UTC,2448823.372923133,587.177137409
2018-01-12 00:00:00 UTC,12519124.152351723,2324.709278097
2020-07-28 00:00:00 UTC,3265870.834602915,5390.11873139
2020-10-08 00:00:00 UTC,2983964.131993914,5987.751726454
2016-01-26 00:00:00 UTC,1445114.611804127,37.898057626
2016-06-24 00:00:00 UTC,1123372.467511575,39.42674868
2018-03-15 00:00:00 UTC,1882278.894427651,393.576590022
2017-08-08 00:00:00 UTC,10950203.755285018,339.083823734
2018-07-28 00:00:00 UTC,796903.049271575,512.539608372
2017-12-01 00:00:00 UTC,21299647.98527248,416.073297624
2018-07-19 00:00:00 UTC,1659542.04546343,431.950077549
2019-09-16 00:00:00 UTC,2339394.738622676,1009.410967973
2017-02-11 00:00:00 UTC,933102.923402069,38.495933279
2016-05-14 00:00:00 UTC,5915021.886388882,35.451335023
2016-02-02 00:00:00 UTC,619268.055697492,29.462927794
2016-04-13 00:00:00 UTC,1138001.27888513,32.967123826
2016-07-15 00:00:00 UTC,3906606.341073826,29.146970105
2017-08-12 00:00:00 UTC,27701104.122135186,344.986095976
2018-02-16 00:00:00 UTC,4353434.377286573,601.582140271
2019-03-19 00:00:00 UTC,1902977.67023544,432.020128354
2018-08-30 00:00:00 UTC,1433665.548451786,441.391259723
2020-04-15 00:00:00 UTC,1380474.368949485,493.208581844
2020-06-09 00:00:00 UTC,1649603.393760902,2152.572195952
2020-10-29 00:00:00 UTC,2263600.770569346,5094.81336979
2016-04-08 00:00:00 UTC,549948.041901111,25.167538589
2017-09-09 00:00:00 UTC,19654915.589363972,441.035124764
2018-09-07 00:00:00 UTC,2572015.639303358,506.599517424
2018-04-14 00:00:00 UTC,968581.452354063,317.022304426
2017-10-31 00:00:00 UTC,11479945.362771972,330.604032052
2020-03-07 00:00:00 UTC,1187811.056702595,369.337938639
2020-05-01 00:00:00 UTC,1460940.542673594,682.26253085
2018-06-21 00:00:00 UTC,1861910.641460067,416.030270455
2020-02-12 00:00:00 UTC,2768745.135331079,591.936379838
2017-02-02 00:00:00 UTC,1230226.922724487,35.459397387
2016-09-18 00:00:00 UTC,1566170.914884612,29.645262307
2017-03-21 00:00:00 UTC,13135570.343904275,64.218719028
2016-12-13 00:00:00 UTC,1107648.450207808,30.964451462
2020-03-29 00:00:00 UTC,1214265.657281026,351.972081779
2019-12-11 00:00:00 UTC,891850.596280078,428.872798123
2020-01-16 00:00:00 UTC,1690501.575289831,342.678935212
2020-05-21 00:00:00 UTC,2008001.370885766,2809.292178326
2017-01-01 00:00:00 UTC,1818691.001820866,25.262224847
2016-09-08 00:00:00 UTC,1516148.581275133,41.206540449
2015-09-12 00:00:00 UTC,217734.240845786,11.354833205
2015-10-11 00:00:00 UTC,152908.978504305,8.998794597
2016-07-14 00:00:00 UTC,929952.789833581,32.4096419
2020-02-05 00:00:00 UTC,1580529.866330737,438.249565522
2019-01-24 00:00:00 UTC,2377266.666297058,355.082554057
2018-08-21 00:00:00 UTC,1470787.819604197,377.618566762
2019-05-24 00:00:00 UTC,2484193.830993203,596.560462202
2018-07-10 00:00:00 UTC,1910868.966313263,734.239115998
2017-10-16 00:00:00 UTC,7409743.212999482,337.116480478
2017-12-22 00:00:00 UTC,14386497.484670945,1640.148073957
2020-08-14 00:00:00 UTC,4579466.029161232,16401.40264804
2017-02-16 00:00:00 UTC,2388301.688610114,39.211240559
2015-09-04 00:00:00 UTC,176548.645582406,9.733856365
2015-11-27 00:00:00 UTC,679065.032408981,9.399192629
2020-02-06 00:00:00 UTC,2317575.426174728,485.000886423
2018-10-04 00:00:00 UTC,1599004.368662403,441.227552091
2017-08-11 00:00:00 UTC,46495729.375758717,354.162109962
2018-08-13 00:00:00 UTC,2500435.730871179,526.722008025
2020-11-06 00:00:00 UTC,4286842.426670241,4519.434582005
2016-08-18 00:00:00 UTC,1185765.25379355,36.061490441
2017-04-30 00:00:00 UTC,16134880.729175153,78.958630352
2017-06-05 00:00:00 UTC,17087868.584130126,219.924346451
2018-10-13 00:00:00 UTC,1192920.657345735,341.114586549
2018-04-02 00:00:00 UTC,1440779.267537527,308.536536171
2018-07-21 00:00:00 UTC,1089214.364892596,591.209766329
2019-01-08 00:00:00 UTC,2343173.279250887,312.987859404
2019-06-13 00:00:00 UTC,2725015.456278782,393.64042349
2020-05-22 00:00:00 UTC,1859040.640987706,1934.635731709
2018-01-30 00:00:00 UTC,8500894.847989877,1062.581045362
2019-03-25 00:00:00 UTC,2876368.630628845,438.341079844
2017-07-15 00:00:00 UTC,24533259.084525415,288.040626263
2016-12-25 00:00:00 UTC,1059861.962746411,24.217901739
2017-11-06 00:00:00 UTC,9644983.377572743,268.798275749
2018-11-18 00:00:00 UTC,1899243.943355572,459.693137572
2017-10-18 00:00:00 UTC,14603488.436309203,299.370943288
2019-01-20 00:00:00 UTC,1721295.657820777,307.155161687
2018-04-06 00:00:00 UTC,1318029.693738703,352.355041147
2020-01-02 00:00:00 UTC,1118306.895272819,289.905753544
2018-05-21 00:00:00 UTC,1659141.393686503,683.18882674
2020-01-09 00:00:00 UTC,1340759.536379902,345.756348637
2020-09-26 00:00:00 UTC,2329874.484351309,6278.130230787
2020-06-15 00:00:00 UTC,2624298.585082313,2532.148965109
2017-04-20 00:00:00 UTC,11012848.351666038,71.792773912
2015-08-09 00:00:00 UTC,1165455.274595545,14.098949764
2018-04-11 00:00:00 UTC,1484574.245971901,326.021989168
2019-10-03 00:00:00 UTC,1003383.152654717,644.288285344
2020-01-11 00:00:00 UTC,1354479.424015136,313.037145242
2018-05-03 00:00:00 UTC,2869964.996717469,569.749611064
2017-12-26 00:00:00 UTC,8859600.890428086,743.062866234
2020-06-21 00:00:00 UTC,1519758.130452294,1991.253878466
