transaction_date,total_daily_value,sum_daily_transaction_fees
2016-04-15 00:00:00 UTC,0,6.732200327
2017-02-09 00:00:00 UTC,0,16.890996778
2016-07-05 00:00:00 UTC,0,11.098844141
2017-01-28 00:00:00 UTC,0,13.687979815
2016-11-13 00:00:00 UTC,0,10.758704176
2017-11-15 00:00:00 UTC,0,239.277105572
2018-12-25 00:00:00 UTC,0,289.016429499
2019-08-18 00:00:00 UTC,0,209.552624177
2018-08-04 00:00:00 UTC,0,175.538443954
2018-07-16 00:00:00 UTC,0,410.311262795
2018-08-16 00:00:00 UTC,0,379.327661724
2018-08-12 00:00:00 UTC,0,228.093001164
2019-03-04 00:00:00 UTC,0,317.508914572
2018-06-20 00:00:00 UTC,0,289.866087889
2015-10-29 00:00:00 UTC,0,4.614035688
2017-03-06 00:00:00 UTC,0,14.253443075
2017-07-01 00:00:00 UTC,0,156.079378537
2017-09-01 00:00:00 UTC,0,313.917373338
2019-05-02 00:00:00 UTC,0,289.436281844
2018-04-25 00:00:00 UTC,0,306.754866372
2020-03-30 00:00:00 UTC,0,360.037444096
2020-07-05 00:00:00 UTC,0,1401.399308362
2015-08-27 00:00:00 UTC,0,0.578325812
2015-11-24 00:00:00 UTC,0,2.811778936
2016-02-22 00:00:00 UTC,0,6.142312509
2016-01-06 00:00:00 UTC,0,17.833906914
2016-11-06 00:00:00 UTC,0,4.428343116
2017-09-17 00:00:00 UTC,0,199.95460792
2018-12-16 00:00:00 UTC,0,198.33528985
2018-09-24 00:00:00 UTC,0,380.378912423
2019-11-20 00:00:00 UTC,0,417.857670057
2017-12-18 00:00:00 UTC,0,744.123338568
2019-11-24 00:00:00 UTC,0,344.993187193
2019-11-23 00:00:00 UTC,0,349.581053606
2020-05-07 00:00:00 UTC,0,905.897657659
2020-09-17 00:00:00 UTC,0,34298.519013652
2016-03-07 00:00:00 UTC,0,4.696456275
2016-08-15 00:00:00 UTC,0,4.24849796
2017-01-13 00:00:00 UTC,0,15.631933382
2019-10-18 00:00:00 UTC,0,370.876665135
2018-03-10 00:00:00 UTC,0,272.73819051
2016-11-21 00:00:00 UTC,0,12.975842838
2016-12-14 00:00:00 UTC,0,16.100660446
2017-05-25 00:00:00 UTC,0,92.167762434
2017-09-02 00:00:00 UTC,0,172.678800889
2018-07-17 00:00:00 UTC,0,342.46962792
2018-03-11 00:00:00 UTC,0,255.743008243
2018-01-09 00:00:00 UTC,0,1368.971176035
2019-11-06 00:00:00 UTC,0,374.545910297
2019-02-26 00:00:00 UTC,0,382.401982747
2019-05-29 00:00:00 UTC,0,472.053380519
2018-08-26 00:00:00 UTC,0,267.401458385
2020-11-03 00:00:00 UTC,0,2520.417110933
2015-08-31 00:00:00 UTC,0,0.891877915
2015-08-08 00:00:00 UTC,0,8.35931267
2017-07-06 00:00:00 UTC,0,153.447397725
2017-09-23 00:00:00 UTC,0,167.768646047
2017-11-05 00:00:00 UTC,0,132.778585442
2017-07-31 00:00:00 UTC,0,109.222139827
2017-11-04 00:00:00 UTC,0,131.011521766
2020-03-28 00:00:00 UTC,0,316.222369703
2020-10-18 00:00:00 UTC,0,2196.851977123
2015-12-27 00:00:00 UTC,0,53.951031497
2016-06-29 00:00:00 UTC,0,37.498526278
2016-12-07 00:00:00 UTC,0,16.491646964
2017-08-10 00:00:00 UTC,0,160.082024996
2018-07-15 00:00:00 UTC,0,3017.976973754
2018-12-31 00:00:00 UTC,0,234.911152186
2017-08-25 00:00:00 UTC,0,143.574630263
2018-03-14 00:00:00 UTC,0,290.14314258
2019-11-16 00:00:00 UTC,0,312.566008211
2019-04-01 00:00:00 UTC,0,341.291348981
2019-07-02 00:00:00 UTC,0,440.817359558
2020-09-04 00:00:00 UTC,0,13364.886451041
2017-01-01 00:00:00 UTC,0,7.011494936
2016-09-08 00:00:00 UTC,0,14.969755668
2015-10-11 00:00:00 UTC,0,0.18978972
2015-09-12 00:00:00 UTC,0,1.436901687
2016-07-14 00:00:00 UTC,0,13.220174559
2017-10-16 00:00:00 UTC,0,213.238050164
2018-08-21 00:00:00 UTC,0,229.739750616
2018-07-10 00:00:00 UTC,0,552.521477291
2019-01-24 00:00:00 UTC,0,247.903805923
2017-12-22 00:00:00 UTC,0,860.769841959
2019-05-24 00:00:00 UTC,0,447.577768734
2020-02-05 00:00:00 UTC,0,357.133578883
2020-08-14 00:00:00 UTC,0,12065.744821996
2017-01-05 00:00:00 UTC,0,12.276408056
2017-04-21 00:00:00 UTC,0,57.150696439
2017-04-03 00:00:00 UTC,0,24.221473481
2018-08-09 00:00:00 UTC,0,830.69566974
2018-09-28 00:00:00 UTC,0,478.699815693
2019-10-08 00:00:00 UTC,0,368.001877331
2019-08-22 00:00:00 UTC,0,361.170513856
2018-06-02 00:00:00 UTC,0,438.252933065
2020-08-17 00:00:00 UTC,0,6115.34241517
2016-03-16 00:00:00 UTC,0,4.740142364
2016-03-29 00:00:00 UTC,0,6.728040444
2017-09-15 00:00:00 UTC,0,276.216928584
2019-12-26 00:00:00 UTC,0,295.260988447
2020-09-23 00:00:00 UTC,0,7699.588183456
2017-06-03 00:00:00 UTC,0,116.81001852
2017-07-26 00:00:00 UTC,0,163.085778515
2017-06-20 00:00:00 UTC,0,112.369873065
2018-09-14 00:00:00 UTC,0,277.76330512
2018-01-22 00:00:00 UTC,0,623.849249812
2017-10-19 00:00:00 UTC,0,181.532809496
2019-09-28 00:00:00 UTC,0,1062.611051813
2017-08-07 00:00:00 UTC,0,185.989616597
2018-07-03 00:00:00 UTC,0,3358.437410129
2019-10-04 00:00:00 UTC,0,403.866515289
2017-07-14 00:00:00 UTC,0,150.914376591
2016-04-11 00:00:00 UTC,0,2.907887534
2016-03-13 00:00:00 UTC,0,4.301269618
2016-09-17 00:00:00 UTC,0,11.693520029
2016-04-28 00:00:00 UTC,0,3.863634801
2016-08-21 00:00:00 UTC,0,6.094144791
2017-04-04 00:00:00 UTC,0,26.339501929
2018-04-10 00:00:00 UTC,0,196.710763931
2017-09-04 00:00:00 UTC,0,284.235220584
2018-09-15 00:00:00 UTC,0,261.994880879
2020-01-13 00:00:00 UTC,0,275.488627254
2018-05-23 00:00:00 UTC,0,556.079302071
2019-04-14 00:00:00 UTC,0,208.056019702
2018-06-16 00:00:00 UTC,0,241.765703624
2019-06-25 00:00:00 UTC,0,558.058642148
2020-06-29 00:00:00 UTC,0,1757.243849711
