transaction_date,total_daily_value,sum_daily_transaction_fees
2015-09-04 00:00:00 UTC,176548.645582406,7.544068453
2015-11-27 00:00:00 UTC,679065.032408981,7.878703295
2017-02-16 00:00:00 UTC,2388301.688610114,25.120078612
2017-08-11 00:00:00 UTC,46495729.375758717,161.813710776
2018-10-04 00:00:00 UTC,1599004.368662403,117.591301226
2020-02-06 00:00:00 UTC,2317575.426174728,92.910351361
2020-11-06 00:00:00 UTC,4286842.426670241,1107.848595316
2018-08-13 00:00:00 UTC,2500435.730871179,176.276834719
2016-12-07 00:00:00 UTC,2444217.808660387,18.495183744
2015-12-27 00:00:00 UTC,79395.383930769,32.683313118
2018-07-15 00:00:00 UTC,793117.233867938,543.590012862
2016-06-29 00:00:00 UTC,1267924.10682019,19.357926352
2017-08-10 00:00:00 UTC,23186339.796759819,153.065627842
2017-08-25 00:00:00 UTC,10339449.676638483,166.562133707
2019-11-16 00:00:00 UTC,850644.500422153,67.385506098
2018-12-31 00:00:00 UTC,2099883.090300412,97.342169275
2019-07-02 00:00:00 UTC,2307130.924468468,145.589269058
2019-04-01 00:00:00 UTC,2450268.933247234,148.549241665
2018-03-14 00:00:00 UTC,1932198.55164468,131.445509399
2020-09-04 00:00:00 UTC,6494007.099660182,4652.590224672
2017-02-05 00:00:00 UTC,745254.672640272,22.836340315
2016-03-25 00:00:00 UTC,554298.107241178,17.60454365
2017-03-17 00:00:00 UTC,16092010.448922957,59.875395635
2016-02-29 00:00:00 UTC,711512.38730957,25.949742824
2017-03-23 00:00:00 UTC,11598843.917171181,35.349892658
2017-06-10 00:00:00 UTC,11222492.903395302,124.985254234
2018-01-19 00:00:00 UTC,9141807.335969784,904.477341238
2018-10-11 00:00:00 UTC,3099520.835625469,149.447988109
2019-01-09 00:00:00 UTC,2195157.99359082,107.023988842
2016-12-25 00:00:00 UTC,1059861.962746411,17.179790629
2018-11-18 00:00:00 UTC,1899243.943355572,99.242480957
2018-04-06 00:00:00 UTC,1318029.693738703,121.071843548
2017-07-15 00:00:00 UTC,24533259.084525415,154.569293953
2017-11-06 00:00:00 UTC,9644983.377572743,73.686959275
2020-01-02 00:00:00 UTC,1118306.895272819,50.984321243
2017-10-18 00:00:00 UTC,14603488.436309203,121.408277577
2019-01-20 00:00:00 UTC,1721295.657820777,84.718137746
2020-01-09 00:00:00 UTC,1340759.536379902,71.605458177
2020-06-15 00:00:00 UTC,2624298.585082313,738.330636392
2018-05-21 00:00:00 UTC,1659141.393686503,183.074217372
2020-09-26 00:00:00 UTC,2329874.484351309,1558.261764348
2016-11-11 00:00:00 UTC,3766389.823659939,34.887650509
2015-12-12 00:00:00 UTC,485803.623084596,21.269818161
2020-03-11 00:00:00 UTC,2448823.372923133,106.069482962
2017-06-18 00:00:00 UTC,9480966.511450429,146.277385767
2020-10-08 00:00:00 UTC,2983964.131993914,1341.207761682
2018-01-12 00:00:00 UTC,12519124.152351723,1142.863983777
2020-07-28 00:00:00 UTC,3265870.834602915,1893.840861831
2015-10-29 00:00:00 UTC,517761.295161246,7.936716079
2017-07-01 00:00:00 UTC,9037705.813324049,159.665269612
2017-03-06 00:00:00 UTC,15317117.38313333,27.098248861
2017-09-01 00:00:00 UTC,15501632.904308534,201.498808929
2020-03-30 00:00:00 UTC,1651785.323334154,93.383706068
2018-04-25 00:00:00 UTC,2523798.709546167,148.524993075
2019-05-02 00:00:00 UTC,2108287.042753564,489.821710445
2020-07-05 00:00:00 UTC,1020602.942759457,702.698952617
2016-11-14 00:00:00 UTC,534398.405990708,21.699866228
2016-06-09 00:00:00 UTC,462236.827360093,18.253014805
2020-04-26 00:00:00 UTC,1377885.085548579,148.784060659
2018-12-06 00:00:00 UTC,3817878.696657535,139.829364882
2019-03-13 00:00:00 UTC,2068256.422013156,106.697218053
2018-09-06 00:00:00 UTC,3044532.899119942,210.83103607
2017-10-26 00:00:00 UTC,9734536.262848638,83.317751071
2018-08-08 00:00:00 UTC,2066025.850152695,1951.691194177
2015-08-08 00:00:00 UTC,13583219.939374866,59.74065717
2015-08-31 00:00:00 UTC,384849.223365454,6.532655929
2017-11-04 00:00:00 UTC,8449990.77513646,81.066009189
2017-11-05 00:00:00 UTC,7940924.961736914,66.970456677
2017-07-06 00:00:00 UTC,8334645.656591378,151.324036522
2017-09-23 00:00:00 UTC,7441150.239305923,147.755692793
2017-07-31 00:00:00 UTC,8746132.827950479,121.978951486
2020-03-28 00:00:00 UTC,1877746.241025269,86.460355033
2020-10-18 00:00:00 UTC,1411861.419870502,548.005580519
2017-02-11 00:00:00 UTC,933102.923402069,22.038050319
2016-02-02 00:00:00 UTC,619268.055697492,24.341981856
2016-07-15 00:00:00 UTC,3906606.341073826,18.271693356
2016-04-13 00:00:00 UTC,1138001.27888513,18.072715016
2016-05-14 00:00:00 UTC,5915021.886388882,29.533484054
2020-04-15 00:00:00 UTC,1380474.368949485,117.179572323
2017-08-12 00:00:00 UTC,27701104.122135186,140.955229455
2018-02-16 00:00:00 UTC,4353434.377286573,246.117192224
2018-08-30 00:00:00 UTC,1433665.548451786,161.939536337
2020-10-29 00:00:00 UTC,2263600.770569346,1308.053137906
2019-03-19 00:00:00 UTC,1902977.67023544,125.33450911
2020-06-09 00:00:00 UTC,1649603.393760902,597.782901028
2017-04-22 00:00:00 UTC,6948387.926679639,35.313395386
2019-08-26 00:00:00 UTC,1871990.568480359,140.920792915
2018-07-30 00:00:00 UTC,1559479.323800485,125.583495103
2019-10-31 00:00:00 UTC,1716868.354793026,100.128690835
2018-06-04 00:00:00 UTC,2032947.000312095,196.462191208
2020-08-13 00:00:00 UTC,3980492.582852925,5383.892517891
2015-08-23 00:00:00 UTC,497834.968767717,6.819515112
2017-05-30 00:00:00 UTC,11983948.652158285,147.618117819
2018-10-20 00:00:00 UTC,1437912.715727981,120.821835726
2017-11-22 00:00:00 UTC,16665737.06505171,157.634107586
2019-09-20 00:00:00 UTC,1872698.275187519,244.367915719
2020-05-26 00:00:00 UTC,1891438.76794197,610.571494874
2019-07-08 00:00:00 UTC,1774410.31797719,111.67989254
2018-05-17 00:00:00 UTC,1708454.66639204,242.857316564
2019-07-22 00:00:00 UTC,1643753.290501017,96.368344017
2016-06-11 00:00:00 UTC,527070.626857753,16.905838116
