f0_,f1_
2016-10-25 00:00:00 UTC,630943779135680248
2020-08-27 00:00:00 UTC,17710413474196193570
2015-12-16 00:00:00 UTC,42658064251311421
2015-12-10 00:00:00 UTC,39983052254030779
2016-03-08 00:00:00 UTC,87756912562800310
2018-10-06 00:00:00 UTC,20237730125132976157
2020-09-28 00:00:00 UTC,20772212708969791562
2016-08-24 00:00:00 UTC,396427495884643868
2020-10-15 00:00:00 UTC,21940538529943148893
2017-05-14 00:00:00 UTC,2186613851302861671
2016-04-21 00:00:00 UTC,184921798827347544
2019-05-26 00:00:00 UTC,12952094950983222860
2017-01-13 00:00:00 UTC,618878036987665856
2018-12-13 00:00:00 UTC,13529468581843965019
2020-06-25 00:00:00 UTC,15514039848241062843
2017-05-09 00:00:00 UTC,2073511101196543957
2016-01-13 00:00:00 UTC,42435321715210984
2018-10-13 00:00:00 UTC,19741170902964349107
2016-12-06 00:00:00 UTC,433581504091778560
2016-11-29 00:00:00 UTC,413233689063388070
2018-05-19 00:00:00 UTC,18210936316569580849
2017-05-22 00:00:00 UTC,2532245017293518520
2016-08-21 00:00:00 UTC,383918210673166501
2019-03-18 00:00:00 UTC,11992088167560505437
2016-07-06 00:00:00 UTC,347346922271295767
2018-04-14 00:00:00 UTC,18533907840210123360
2017-06-12 00:00:00 UTC,3541947826818610870
2017-02-26 00:00:00 UTC,897537584201532887
2018-05-29 00:00:00 UTC,18183865157762112605
2016-09-16 00:00:00 UTC,440594087022843621
2016-12-07 00:00:00 UTC,447234225507169650
2015-12-19 00:00:00 UTC,43924374127659701
2016-05-11 00:00:00 UTC,206042150787206879
2017-03-04 00:00:00 UTC,949796772929164653
2019-07-02 00:00:00 UTC,14063509483401114772
2017-08-01 00:00:00 UTC,6566705526866285275
2016-04-26 00:00:00 UTC,187448613717546601
2017-03-03 00:00:00 UTC,962270884597939720
2017-06-14 00:00:00 UTC,3774909635294995685
2016-05-22 00:00:00 UTC,243718843389557307
2016-10-22 00:00:00 UTC,627017184414647680
2017-04-21 00:00:00 UTC,1709457583345806008
2016-09-10 00:00:00 UTC,418306303654111954
2016-10-14 00:00:00 UTC,559214260842206298
2019-05-14 00:00:00 UTC,12977837464467657454
2017-04-25 00:00:00 UTC,1759122610464148224
2019-01-23 00:00:00 UTC,13739397419009637965
2020-08-08 00:00:00 UTC,16425387425612277776
2018-05-31 00:00:00 UTC,18348770674869424714
2016-02-28 00:00:00 UTC,74113574674954967
2020-06-20 00:00:00 UTC,15243885816131955484
2019-03-10 00:00:00 UTC,12272131646701715428
2017-05-04 00:00:00 UTC,1900440242356661260
2015-10-05 00:00:00 UTC,31479516899287622
2018-07-29 00:00:00 UTC,21380391512855879864
2019-07-30 00:00:00 UTC,14601667495825597792
2020-08-17 00:00:00 UTC,16519362264121025353
2020-08-14 00:00:00 UTC,17405319114397651594
2020-10-25 00:00:00 UTC,21766350903421303791
2016-06-29 00:00:00 UTC,329135270092723300
2015-12-17 00:00:00 UTC,44194511046872973
2017-11-25 00:00:00 UTC,9686416240329206181
2016-01-18 00:00:00 UTC,47950433997604656
